Company,Year,Url,Claim,Accusation,Company_description,Type,certificates,
Oatly,2022,https://www.oatly.com/en-gb/helpdad,Oatly generates 73% less CO2e VS cows milk,,"Oatly Group AB, an oatmilk company, provides a range of plant-based dairy products made from oats in Europe, the Middle East, Africa, the Americas, and Asia. It offers Barista edition oatmilk, oatgurts, frozen desserts, ice-creams, and yogurts; cooking products, including cooking cream, in regular and organic, Crème Fraiche, whipping cream, vanilla custard, and spreads in a variety of flavors; and ready-to-go drinks. The company was formerly known as Havre Global AB and changed its name to Oatly Group AB in March 2021. Oatly Group AB was founded in 1994 and is headquartered in Malmö, Sweden.",greenwash,,
Ryanair,2019,https://www.asa.org.uk/rulings/ryanair-ltd-cas-571089-p1w6b2.html,"The press ad featured text which stated “Europe’s Lowest Fares, Lowest Emissions Airline”. Everybody knows that when you fly Ryanair you enjoy the lowest fares. But do you know you are travelling on the airline with Europe’s lowest emissions as well?” and “Ryanair has the lowest carbon emissions of any major airline – 66g CO2 for every passenger kilometre flown. This is because we have the youngest fleet of aircraft (avg. age 6 years, the highest load factors (97% of seats filled) and newest most fuel efficient engines”",,"Ryanair Holdings plc, together with its subsidiaries, provides scheduled-passenger airline services in Ireland, the United Kingdom, Italy, Spain, and internationally. It is also involved in the provision of various ancillary services, such as non-flight scheduled and Internet-related services, as well as in-flight sale of beverages, food, duty-free, and merchandise; and markets car hire, travel insurance, and accommodation services through its website and mobile app. In addition, the company offers aircraft and passenger handling, ticketing, and maintenance and repair services; and markets car parking, fast-track, airport transfers, attractions, and activities on its website and mobile app, as well as sells gift vouchers. Ryanair Holdings plc was incorporated in 1996 and is headquartered in Swords, Ireland.",greenwash,,
Ryanair,2019,https://www.asa.org.uk/rulings/ryanair-ltd-cas-571089-p1w6b2.html,"The TV ad featured a voice-over which stated “Fly Ryanair. Europe’s low fare, low CO2 emissions airline from just £14.99. Book Ryanair today”","While we considered the claims in the ads would be understood relatively and while we were satisfied that CO2 per passenger distance was an appropriate method to compare the carbon footprint of passengers on different airlines, we were concerned that the basis of the claims had not been made clear in the ads and that the evidence provided was insufficient to demonstrate that Ryanair was the lowest carbon-emitting airline on the basis of that metric.","Ryanair Holdings plc, together with its subsidiaries, provides scheduled-passenger airline services in Ireland, the United Kingdom, Italy, Spain, and internationally. It is also involved in the provision of various ancillary services, such as non-flight scheduled and Internet-related services, as well as in-flight sale of beverages, food, duty-free, and merchandise; and markets car hire, travel insurance, and accommodation services through its website and mobile app. In addition, the company offers aircraft and passenger handling, ticketing, and maintenance and repair services; and markets car parking, fast-track, airport transfers, attractions, and activities on its website and mobile app, as well as sells gift vouchers. Ryanair Holdings plc was incorporated in 1996 and is headquartered in Swords, Ireland.",greenwash,,
Adidas,2021,https://greenwash.com/brands/adidas/,"Stan Smith Forever. 100% iconic, 50% recycled","The brand claimed the shoes are 100% iconic, 50% recycled* which was deemed to be misleading by France's Jury de Deontologie Publicitaire, as it suggested 50% of the total product was made from recycled materials when it is not.","adidas AG, together with its subsidiaries, designs, develops, produces, and markets athletic and sports lifestyle products in Europe, the Middle East, Africa, North America, Greater China, the Asia-Pacific, and Latin America. It offers footwear, apparel, and accessories and gear, such as bags and balls under the adidas brand; golf footwear and apparel under the adidas Golf brand; and outdoor footwear under the Five Ten brand. It sells its products through its own retail stores; mono-branded franchise stores and shop-in-shops; and wholesale and its e-commerce channels. The company was formerly known as adidas-Salomon AG and changed its name to adidas AG in June 2006. adidas AG was founded in 1920 and is headquartered in Herzogenaurach, Germany.",greenwash,,
Asos,2022,https://goodonyou.eco/greenwashing-examples/,"Style meets sustainability in our innovative new ASOS line, which is all about future-proofing fashion. So, not only are these pieces as eco-friendly as possible, they’re also 100% on-point. Think fresh cuts in the season’s key colours, with some throwback ’90s vibes added in for good measure. The kind of fashion that’s good for your wardrobe, and better for the environment.","These “greener” clothing ranges represent a tiny portion of these fast fashion brands’ overall production. “The collections often only offer a small slither of totally available products to buy. And the ‘green’ element is often not substantiated. We have seen some [brands] call their collection ‘green’ because it has 20% recycled materials in it or because it is certified by OEKO-TEX Standard 100 (which only tests if the final product has any harm to human health, not environmental health)”","ASOS Plc operates as an online fashion retailer in the United Kingdom, the United States, Australia, France, Germany, Spain, Italy, Sweden, the Netherlands, Denmark, Poland, and internationally. It offers womenswear and menswear products. The company sells its products under the ASOS Design, ASOS Edition, ASOS Luxe, ASOS 4505, Collusion, Reclaimed Vintage, Topshop, Topman, Miss Selfridge, HIIT, AsYou, Dark Future, UNRVLLD/SPPLY, Crooked Tongues, Daysocial, Actual, and Weekend Collective brands, as well as through third-party brands. It is also involved in the employer of marketing staff and payment processing businesses, as well as acts as a vehicle for issue of convertible bonds. ASOS Plc was incorporated in 2000 and is headquartered in London, the United Kingdom.",greenwash,,
Lululemon,2022,https://goodonyou.eco/greenwashing-examples/,"we’ll adapt infrastructure to take back products after first use and recycle materials into a valuable next life, including fibre-to-fibre",,"Lululemon Athletica Inc., together with its subsidiaries, designs, distributes, and retails athletic apparel, footwear, and accessories under the lululemon brand for women and men. It offers pants, shorts, tops, and jackets for healthy lifestyle, such as yoga, running, training, and other activities. It also provides fitness-inspired accessories. The company sells its products through a chain of company-operated stores; outlets; interactive workout platform; yoga and fitness studios, university campus retailers, and other partners; license and supply arrangements; and temporary locations, as well as through mobile apps and lululemon.com e-commerce website. It has operations in the United States, Canada, Mainland China, Australia, South Korea, Hong Kong, Japan, New Zealand, Taiwan, Singapore, Malaysia, Macau, Thailand, the Asia Pacific, the United Kingdom, Germany, France, Ireland, Spain, the Netherlands, Sweden, Norway, Switzerland, Europe, the Middle East, and Africa. Lululemon Athletica Inc. was founded in 1998 and is based in Vancouver, Canada.",greenwash,,
Zara,2022,https://goodonyou.eco/greenwashing-examples/,"[We have] 100% energy-efficient stores. The daily operation of our stores is adapted to reduce our environmental impact with systems that allow us to adjust water and energy consumption to the real needs of the store. In addition, the new building and renovation standards of our stores, based on our Eco-Efficient Store Manual, establish the use of more efficient technologies that help us regulate our consumption.","For example, in our latest review of Zara, we found no evidence the brand minimises textile waste when manufacturing its products. And, although Zara has set an absolute target to reduce greenhouse gas emissions generated from its operations and supply chain, there is no evidence it is on track to meet its target. It is also important to remember that Zara has fast fashion traits such as on-trend styles and regular new arrivals. This business model is inherently harmful to the environment, and energy-efficient stores can’t change that.","The clothing retailer has more nearly 3,000 stores, including its kids and home stores. It has stores in 96 countries and is the flagship brand of the Inditex Group. Zara is renowned for its ability to develop a new product and get it to stores within two weeks, while other retailers take six months. Spain is the biggest market with 547 stores (including Zara Kids and Zara Home), followed by China (229 stores), France (145), Russia (144) and Italy (134). The U.S. has 98 stores as of January 2019. Rosalia Mera, who co-founded Zara with her former husband Amancio Ortega, died in 2013 at the age of 69. She was the wealthiest self-made woman in the world with a fortune estimated at $6.1 billion at the time of her death",greenwash,,
Innocent,2021,https://www.theguardian.com/environment/2022/feb/02/activists-accuse-drinks-firm-innocent-greenwashing-plastics-rebellion-advertising-tv-advert,"The TV ad tells the story of a man and and his aquatic sidekick, Otter, as their boat is hijacked by revellers celebrating and making a mess as they approach a large waterfall. They sing about “messing up the planet” until they find themselves in peril, hanging off the edge of a cliff. They then row back to safety, clear up the rubbish, and start turning apples on a tree into Innocent smoothies, which they all consume as they “fix up the planet”","Plastics Rebellion pointed out that Innocent was owned by Coca-Cola, which has frequently been accused of creating pollution, and was recently found to be the brand most littered on British beaches. The group also claimed Innocent created 32,000 plastic bottles an hour, and said plastic bottles were responsible for a large amount of marine pollution. The group also said that by repeating the mantra “reduce, reuse, recycle”, Innocent was guilty of “trivialising the plastic crisis”, adding: “Recycling only happens 9% of the time [and] much plastic waste is still landfilled.” Plastics Rebellion has asked that Innocent be banned from making adverts the group described as “greenwashing” in the future.","Innocent Limited, trading as Innocent Drinks, is a British-based company that produces smoothies and juice sold in supermarkets, coffee shops and various other outlets. The company sells more than two million smoothies per week. Innocent is over 90% owned by The Coca-Cola Company.",greenwash,,
Ikea,2020,https://www.earthsight.org.uk/flatpackedforests-en#group-Summary-rayWKL9K1I,sustainable materials: All plastic used in IKEA products will be made from renewable or recycled materials by 2030. 99.5% of IKEA's wood is either Forest Stewardship Council®-certified (FSC®) or recycled.,"In 2020, the NGO Earthsight found IKEA and others to be selling furniture made from wood illegally felled during ""silent periods"" in the forests of the Ukrainian Carpathians. The wood in question was certified by the Forest Stewardship Council (FSC) despite its sourcing.","IKEA Systems B.V., trading as IKEA, is a Swedish multinational conglomerate that designs and sells ready-to-assemble furniture, kitchen appliances, decoration, home accessories, and various other goods and home services. Started in 1943 by Ingvar Kamprad and currently legally headquartered in the Netherlands, IKEA has been the world's largest furniture retailer since 2008.",greenwash,,
H&M,2022,https://changingmarkets.org/press-releases/hm-ca-and-primark-discarding-clothes-they-promised-to-save-investigation/,H&M uses green hangtags to identify and market its “Conscious Choice” products,,"Hennes & Mauritz AB engages in the sale of clothing, accessories, footwear, cosmetics, and home textiles. The company products include accessories, underwear, cosmetics, sportswear, and other apparels for men, women, and kids. Its brands include H&M, COS, Monki, Weekday, & Other Stories, Cheap Monday, H&M Home, and ARKET. The company was founded by Erling Persson in 1947 and is headquartered in Stockholm, Sweden.",greenwash,,
QuornFoods,2021,https://truthinadvertising.org/articles/quorn-foods-thai-wonder-grains/,Meat alternative brand Quorn Foods claims in a YouTube video that its Thai Wonder Grains “lunch pot” is a step in the right direction to addressing climate change because it “helps us reduce our carbon footprint.”,,"Producer of meat-free frozen foods committed to getting more people into vegetarian and vegan meals. The company offers a range of products including mince and meatballs along with big bags variant for pieces, sausages, steak strips, crispy nuggets and Swedish-style balls, ensuring its customers with healthy meat-free food for them and the planet.",greenwash,,
